,year,state,Rank 1,Rank 2,Rank 3,Rank 4,Rank 5,Gender
272,1985,Kentucky,Ashley,Jessica,Amanda,Jennifer,Brittany,girl
273,1985,Louisiana,Ashley,Jessica,Amanda,Jennifer,Brittany,girl
274,1985,Maine,Jessica,Amanda,Ashley,Jennifer,Nicole,girl
275,1985,Maryland,Ashley,Jennifer,Jessica,Amanda,Sarah,girl
276,1985,Massachusetts,Jennifer,Jessica,Amanda,Ashley,Nicole,girl
277,1985,Michigan,Jessica,Amanda,Ashley,Jennifer,Nicole,girl
278,1985,Minnesota,Amanda,Ashley,Jennifer,Jessica,Nicole,girl
279,1985,Mississippi,Ashley,Jessica,Amanda,Jennifer,Kimberly,girl
280,1985,Missouri,Ashley,Jessica,Amanda,Jennifer,Sarah,girl
281,1985,Montana,Jessica,Amanda,Ashley,Jennifer,Sarah,girl
282,1985,Nebraska,Ashley,Jessica,Jennifer,Amanda,Sarah,girl
283,1985,Nevada,Jessica,Jennifer,Ashley,Amanda,Nicole,girl
284,1985,New Hampshire,Jessica,Amanda,Jennifer,Sarah,Ashley,girl
285,1985,New Jersey,Jessica,Jennifer,Nicole,Lauren,Amanda,girl
286,1985,New Mexico,Jessica,Amanda,Ashley,Jennifer,Stephanie,girl
287,1985,New York,Jessica,Jennifer,Nicole,Amanda,Ashley,girl
288,1985,North Carolina,Ashley,Jessica,Jennifer,Amanda,Heather,girl
289,1985,North Dakota,Ashley,Amanda,Jessica,Jennifer,Sarah,girl
290,1985,Ohio,Ashley,Jessica,Amanda,Jennifer,Sarah,girl
291,1985,Oklahoma,Ashley,Amanda,Jennifer,Jessica,Sarah,girl
292,1985,Oregon,Jessica,Jennifer,Amanda,Ashley,Sarah,girl
293,1985,Pennsylvania,Ashley,Jessica,Amanda,Jennifer,Nicole,girl
294,1985,Rhode Island,Amanda,Jessica,Ashley,Jennifer,Nicole,girl
295,1985,South Carolina,Ashley,Jessica,Jennifer,Amanda,Brittany,girl
296,1985,South Dakota,Ashley,Amanda,Jessica,Jennifer,Megan,girl
297,1985,Tennessee,Ashley,Jessica,Amanda,Jennifer,Heather,girl
298,1985,Texas,Ashley,Jessica,Jennifer,Amanda,Stephanie,girl
299,1985,Utah,Jessica,Ashley,Jennifer,Megan,Amanda,girl
300,1985,Vermont,Ashley,Jessica,Amanda,Sarah,Jennifer,girl
301,1985,Virginia,Ashley,Jessica,Amanda,Jennifer,Sarah,girl
302,1985,Washington,Jessica,Jennifer,Ashley,Amanda,Sarah,girl
303,1985,West Virginia,Ashley,Jessica,Amanda,Jennifer,Brittany,girl
304,1985,Wisconsin,Amanda,Ashley,Jennifer,Jessica,Nicole,girl
305,1985,Wyoming,Jessica,Amanda,Ashley,Jennifer,Heather,girl
306,1986,Alabama,Ashley,Jessica,Amanda,Jennifer,Brittany,girl
307,1986,Alaska,Jessica,Amanda,Sarah,Ashley,Jennifer,girl
308,1986,Arizona,Jessica,Ashley,Amanda,Jennifer,Sarah,girl
309,1986,Arkansas,Ashley,Jessica,Amanda,Jennifer,Sarah,girl
310,1986,California,Jessica,Ashley,Jennifer,Amanda,Sarah,girl
311,1986,Colorado,Jessica,Amanda,Ashley,Jennifer,Sarah,girl
312,1986,Connecticut,Jessica,Jennifer,Ashley,Amanda,Sarah,girl
313,1986,Delaware,Ashley,Jessica,Amanda,Jennifer,Sarah,girl
314,1986,Dist. of Columbia,Ashley,Jessica,Jennifer,Sarah,Lauren,girl
315,1986,Florida,Jessica,Ashley,Amanda,Jennifer,Brittany,girl
316,1986,Georgia,Jessica,Ashley,Amanda,Jennifer,Brittany,girl
317,1986,Hawaii,Ashley,Jessica,Nicole,Jennifer,Amanda,girl
318,1986,Idaho,Jessica,Ashley,Amanda,Jennifer,Sarah,girl
319,1986,Illinois,Jessica,Ashley,Jennifer,Amanda,Sarah,girl
320,1986,Indiana,Ashley,Jessica,Amanda,Jennifer,Sarah,girl
321,1986,Iowa,Ashley,Jessica,Amanda,Sarah,Jennifer,girl
322,1986,Kansas,Jessica,Ashley,Amanda,Sarah,Jennifer,girl
323,1986,Kentucky,Ashley,Jessica,Amanda,Brittany,Sarah,girl
324,1986,Louisiana,Ashley,Jessica,Brittany,Amanda,Jennifer,girl
325,1986,Maine,Ashley,Jessica,Amanda,Sarah,Jennifer,girl
326,1986,Maryland,Ashley,Jessica,Amanda,Jennifer,Sarah,girl
327,1986,Massachusetts,Jessica,Amanda,Ashley,Jennifer,Sarah,girl
328,1986,Michigan,Jessica,Ashley,Amanda,Jennifer,Sarah,girl
329,1986,Minnesota,Ashley,Amanda,Jessica,Sarah,Jennifer,girl
330,1986,Mississippi,Ashley,Jessica,Brittany,Amanda,Jennifer,girl
331,1986,Missouri,Ashley,Jessica,Amanda,Sarah,Jennifer,girl
332,1986,Montana,Amanda,Jessica,Ashley,Sarah,Jennifer,girl
333,1986,Nebraska,Ashley,Jessica,Amanda,Sarah,Jennifer,girl
334,1986,Nevada,Ashley,Jessica,Amanda,Jennifer,Sarah,girl
335,1986,New Hampshire,Amanda,Jessica,Sarah,Jennifer,Ashley,girl
336,1986,New Jersey,Jessica,Jennifer,Ashley,Amanda,Nicole,girl
337,1986,New Mexico,Jessica,Amanda,Ashley,Jennifer,Crystal,girl
338,1986,New York,Jessica,Jennifer,Amanda,Nicole,Ashley,girl
339,1986,North Carolina,Ashley,Jessica,Amanda,Jennifer,Brittany,girl
340,1986,North Dakota,Ashley,Jessica,Amanda,Jennifer,Sarah,girl
341,1986,Ohio,Ashley,Jessica,Amanda,Jennifer,Sarah,girl
342,1986,Oklahoma,Ashley,Jessica,Jennifer,Amanda,Sarah,girl
343,1986,Oregon,Jessica,Ashley,Amanda,Sarah,Jennifer,girl
344,1986,Pennsylvania,Ashley,Jessica,Amanda,Jennifer,Nicole,girl
345,1986,Rhode Island,Ashley,Jessica,Amanda,Nicole,Jennifer,girl
346,1986,South Carolina,Ashley,Jessica,Amanda,Jennifer,Brittany,girl
347,1986,South Dakota,Ashley,Amanda,Jessica,Sarah,Jennifer,girl
